"Q0143"	""	"ORF10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Q0144"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Q0160"	"SCEI"	"intron-encoded"	"endonuclease"	"I-SceI"	"I-SceIV"	"OMEGA"	""	""	""	""	""	""	""	""	""	""
"Q0182"	""	"ORF11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Q0250"	"COX2"	"cytochrome"	"c"	"oxidase"	"subunit"	"2"	"OXI1"	"OXII"	""	""	""	""	""	""	""	""
"Q0255"	""	"maturase-like"	"protein"	"ORF1"	"RF1"	""	""	""	""	""	""	""	""	""	""	""
"Q0275"	"COX3"	"cytochrome"	"c"	"oxidase"	"subunit"	"3"	"OXI2"	""	""	""	""	""	""	""	""	""
"Q0297"	""	"ORF12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"R0010W"	"FLP1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"R0020C"	"REP1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"R0030W"	"RAF1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"R0040C"	"REP2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL001C"	"TFC3"	"FUN24"	"tau"	"138"	"transcription"	"factor"	"TFIIIC"	"subunit"	"TFC3"	"TSV115"	""	""	""	""	""	""
"YAL002W"	"VPS8"	"CORVET"	"complex"	"membrane-binding"	"subunit"	"VPS8"	"FUN15"	"VPL8"	"VPT8"	""	""	""	""	""	""	""
"YAL003W"	"EFB1"	"eEF1Balpha"	"EF-1beta"	"TEF5"	"translation"	"elongation"	"factor"	"1"	"subunit"	"beta"	""	""	""	""	""	""
"YAL004W"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL005C"	"SSA1"	"Hsp70"	"family"	"ATPase"	"SSA1"	"YG100"	""	""	""	""	""	""	""	""	""	""
"YAL007C"	"ERP2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL008W"	"FUN14"	"MCP3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL009W"	"SPO7"	"Nem1-Spo7"	"phosphatase"	"regulatory"	"subunit"	"SPO7"	""	""	""	""	""	""	""	""	""	""
"YAL010C"	"MDM10"	"FUN37"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL011W"	"SWC3"	"SWC1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL012W"	"CYS3"	"CYI1"	"cystathionine"	"gamma-lyase"	"CYS3"	"FUN35"	"STR1"	""	""	""	""	""	""	""	""	""
"YAL013W"	"DEP1"	"FUN54"	"Rpd3L"	"histone"	"deacetylase"	"complex"	"subunit"	"DEP1"	""	""	""	""	""	""	""	""
"YAL014C"	"SYN8"	"SLT2"	"syntaxin"	"UIP2"	""	""	""	""	""	""	""	""	""	""	""	""
"YAL015C"	"NTG1"	"bifunctional"	"N-glycosylase/AP"	"lyase"	"NTG1"	"FUN33"	"ogg2"	"SCR1"	""	""	""	""	""	""	""	""
"YAL016C-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL016C-B"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL016W"	"TPD3"	"FUN32"	"protein"	"phosphatase"	"2A"	"structural"	"subunit"	"TPD3"	""	""	""	""	""	""	""	""
"YAL017W"	"PSK1"	"FUN31"	"serine/threonine"	"protein"	"kinase"	"PSK1"	""	""	""	""	""	""	""	""	""	""
"YAL018C"	"LDS1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL019W"	"FUN30"	"DNA-dependent"	"ATPase"	"FUN30"	""	""	""	""	""	""	""	""	""	""	""	""
"YAL019W-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL020C"	"ATS1"	"FUN28"	"KTI13"	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL021C"	"CCR4"	"CCR4-NOT"	"core"	"exoribonuclease"	"subunit"	"CCR4"	"FUN27"	"NUT21"	""	""	""	""	""	""	""	""
"YAL022C"	"FUN26"	"nucleoside"	"transmembrane"	"transporter"	"FUN26"	""	""	""	""	""	""	""	""	""	""	""
"YAL023C"	"PMT2"	"dolichyl-phosphate-mannose-protein"	"mannosyltransferase"	"PMT2"	"FUN25"	""	""	""	""	""	""	""	""	""	""	""
"YAL024C"	"LTE1"	"mitotic"	"regulator"	"LTE1"	"MSI2"	""	""	""	""	""	""	""	""	""	""	""
"YAL025C"	"MAK16"	"ribosome"	"biosynthesis"	"protein"	"MAK16"	""	""	""	""	""	""	""	""	""	""	""
"YAL026C"	"DRS2"	"aminophospholipid-translocating"	"P4-type"	"ATPase"	"DRS2"	"FUN38"	"SWA3"	""	""	""	""	""	""	""	""	""
"YAL026C-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL027W"	"SAW1"	"DNA-binding"	"protein"	"SAW1"	""	""	""	""	""	""	""	""	""	""	""	""
"YAL028W"	"FRT2"	"HPH2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL029C"	"MYO4"	"FUN22"	"myosin"	"4"	"SHE1"	""	""	""	""	""	""	""	""	""	""	""
"YAL030W"	"SNC1"	"SNAP"	"receptor"	"SNC1"	""	""	""	""	""	""	""	""	""	""	""	""
"YAL031C"	"GIP4"	"FUN21"	"protein"	"phosphatase"	"regulator"	"GIP4"	""	""	""	""	""	""	""	""	""	""
"YAL031W-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL032C"	"PRP45"	"FUN20"	"mRNA"	"splicing"	"protein"	"PRP45"	""	""	""	""	""	""	""	""	""	""
"YAL033W"	"POP5"	"FUN53"	"RNA-binding"	"protein"	"POP5"	""	""	""	""	""	""	""	""	""	""	""
"YAL034C"	"FUN19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL034C-B"	""	"YAL035C-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL034W-A"	"MTW1"	"DSN3"	"MIND"	"complex"	"subunit"	"MTW1"	"NSL2"	""	""	""	""	""	""	""	""	""
"YAL035W"	"FUN12"	"eIF5B"	"translation"	"initiation"	"factor"	"eIF5B"	"yIF2"	""	""	""	""	""	""	""	""	""
"YAL036C"	"RBG1"	"FUN11"	"GTP-binding"	"protein"	"RBG1"	""	""	""	""	""	""	""	""	""	""	""
"YAL037C-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL037C-B"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL037W"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL038W"	"CDC19"	"PYK1"	"pyruvate"	"kinase"	"CDC19"	""	""	""	""	""	""	""	""	""	""	""
"YAL039C"	"CYC3"	"CCHL"	"holocytochrome"	"c"	"synthase"	"CYC3"	""	""	""	""	""	""	""	""	""	""
"YAL040C"	"CLN3"	"cyclin"	"CLN3"	"DAF1"	"FUN10"	"WHI1"	""	""	""	""	""	""	""	""	""	""
"YAL041W"	"CDC24"	"CLS4"	"Rho"	"family"	"guanine"	"nucleotide"	"exchange"	"factor"	"CDC24"	""	""	""	""	""	""	""
"YAL042C-A"	""	"YAL043C-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL042W"	"ERV46"	"FUN9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL043C"	"PTA1"	"FUN39"	"RNA-processing"	"protein"	"PTA1"	""	""	""	""	""	""	""	""	""	""	""
"YAL044C"	"GCV3"	"glycine"	"decarboxylase"	"subunit"	"H"	""	""	""	""	""	""	""	""	""	""	""
"YAL044W-A"	"BOL1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL045C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL046C"	"BOL3"	"AIM1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL047C"	"SPC72"	"gamma-tubulin"	"complex"	"subunit"	"SPC72"	"LDB4"	""	""	""	""	""	""	""	""	""	""
"YAL047W-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL048C"	"GEM1"	"ERMES"	"complex"	"Ca(2+)-binding"	"regulatory"	"GTPase"	"GEM1"	"GON1"	""	""	""	""	""	""	""	""
"YAL049C"	"AIM2"	"protein"	"AIM2"	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL051W"	"OAF1"	"oleate-activated"	"transcription"	"factor"	"OAF1"	"YAF1"	""	""	""	""	""	""	""	""	""	""
"YAL053W"	"FLC2"	"flavin"	"adenine"	"dinucleotide"	"transporter"	"FLC2"	"HUF2"	""	""	""	""	""	""	""	""	""
"YAL054C"	"ACS1"	"acetate--CoA"	"ligase"	"1"	"FUN44"	""	""	""	""	""	""	""	""	""	""	""
"YAL055W"	"PEX22"	"ubiquitin-protein"	"transferase"	"activating"	"protein"	"PEX22"	"YAF5"	""	""	""	""	""	""	""	""	""
"YAL056C-A"	""	"YAL058C-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL056W"	"GPB2"	"KRH1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL058W"	"CNE1"	"calnexin"	"FUN48"	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL059C-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL059W"	"ECM1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL060W"	"BDH1"	"BDH"	"(R,R)-butanediol"	"dehydrogenase"	""	""	""	""	""	""	""	""	""	""	""	""
"YAL061W"	"BDH2"	"putative"	"dehydrogenase"	"BDH2"	""	""	""	""	""	""	""	""	""	""	""	""
"YAL062W"	"GDH3"	"FUN51"	"glutamate"	"dehydrogenase"	"(NADP(+))"	"GDH3"	""	""	""	""	""	""	""	""	""	""
"YAL063C"	"FLO9"	"flocculin"	"FLO9"	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL063C-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL064C-A"	"TDA8"	"YAL065C-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL064W"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL064W-B"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL065C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL066W"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL067C"	"SEO1"	"putative"	"permease"	"SEO1"	""	""	""	""	""	""	""	""	""	""	""	""
"YAL067W-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL068C"	"PAU8"	"seripauperin"	"PAU8"	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL068W-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAL069W"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAR002C-A"	"ERP1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAR002W"	"NUP60"	"FG-nucleoporin"	"NUP60"	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAR003W"	"SWD1"	"COMPASS"	"subunit"	"protein"	"SWD1"	"CPS50"	"FUN16"	"SAF49"	""	""	""	""	""	""	""	""
"YAR007C"	"RFA1"	"BUF2"	"FUN3"	"replication"	"factor"	"A"	"subunit"	"protein"	"RFA1"	"RPA1"	"RPA70"	""	""	""	""	""
"YAR008W"	"SEN34"	"FUN4"	"tRNA"	"splicing"	"endonuclease"	"subunit"	"SEN34"	""	""	""	""	""	""	""	""	""
"YAR014C"	"BUD14"	"protein"	"phosphatase"	"regulator"	"BUD14"	""	""	""	""	""	""	""	""	""	""	""
"YAR015W"	"ADE1"	"phosphoribosylaminoimidazolesuccinocarboxamide"	"synthase"	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAR018C"	"KIN3"	"FUN52"	"NPK1"	"serine/threonine"	"protein"	"kinase"	"KIN3"	""	""	""	""	""	""	""	""	""
"YAR019C"	"CDC15"	"LYT1"	"serine/threonine"	"protein"	"kinase"	"CDC15"	""	""	""	""	""	""	""	""	""	""
"YAR019W-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAR020C"	"PAU7"	"seripauperin"	"PAU7"	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAR023C"	""	"DUP240"	"family"	"protein"	""	""	""	""	""	""	""	""	""	""	""	""
"YAR027W"	"UIP3"	"DUP240"	"family"	"protein"	"UIP3"	""	""	""	""	""	""	""	""	""	""	""
"YAR028W"	""	"DUP240"	"family"	"protein"	""	""	""	""	""	""	""	""	""	""	""	""
"YAR029W"	""	"DUP240"	"family"	"protein"	""	""	""	""	""	""	""	""	""	""	""	""
"YAR030C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAR031W"	"PRM9"	"pheromone-regulated"	"DUP240"	"family"	"protein"	"PRM9"	""	""	""	""	""	""	""	""	""	""
"YAR033W"	"MST28"	"DUP240"	"family"	"protein"	"MST28"	""	""	""	""	""	""	""	""	""	""	""
"YAR035C-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAR035W"	"YAT1"	"carnitine"	"O-acetyltransferase"	"YAT1"	""	""	""	""	""	""	""	""	""	""	""	""
"YAR042W"	"SWH1"	"OSH1"	"oxysterol-binding"	"protein"	"related"	"protein"	"SWH1"	"YAR044W"	""	""	""	""	""	""	""	""
"YAR047C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAR050W"	"FLO1"	"FLO2"	"FLO4"	"flocculin"	"FLO1"	""	""	""	""	""	""	""	""	""	""	""
"YAR053W"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAR060C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAR064W"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAR066W"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAR068W"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAR069C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAR070C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAR071W"	"PHO11"	"acid"	"phosphatase"	"PHO11"	""	""	""	""	""	""	""	""	""	""	""	""
"YAR073W"	"IMD1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YAR075W"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL001C"	"ECM15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL002W"	"HTB2"	"histone"	"H2B"	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL003C"	"HTA2"	"H2A2"	"histone"	"H2A"	""	""	""	""	""	""	""	""	""	""	""	""
"YBL004W"	"UTP20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL005W"	"PDR3"	"AMY2"	"drug-responsive"	"transcription"	"factor"	"PDR3"	"TPE2"	""	""	""	""	""	""	""	""	""
"YBL006C"	"LDB7"	"RSC14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL006W-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL007C"	"SLA1"	"cytoskeletal"	"protein-binding"	"protein"	"SLA1"	""	""	""	""	""	""	""	""	""	""	""
"YBL008W"	"HIR1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL008W-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL009W"	"ALK2"	"protein"	"kinase"	"ALK2"	""	""	""	""	""	""	""	""	""	""	""	""
"YBL010C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL011W"	"SCT1"	"bifunctional"	"glycerol-3-phosphate/glycerone-phosphate"	"O-acyltransferase"	"SCT1"	"GAT2"	""	""	""	""	""	""	""	""	""	""
"YBL012C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL013W"	"FMT1"	"methionyl-tRNA"	"formyltransferase"	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL014C"	"RRN6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL015W"	"ACH1"	"acetyl-CoA"	"hydrolase"	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL016W"	"FUS3"	"DAC2"	"mitogen-activated"	"serine/threonine-protein"	"kinase"	"FUS3"	""	""	""	""	""	""	""	""	""	""
"YBL017C"	"PEP1"	"type"	"I"	"sorting"	"receptor"	"VPS10"	"VPT1"	""	""	""	""	""	""	""	""	""
"YBL018C"	"POP8"	"ribonuclease"	"P"	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL019W"	"APN2"	"DNA-(apurinic"	"or"	"apyrimidinic"	"site)"	"lyase"	"APN2"	"ETH1"	""	""	""	""	""	""	""	""
"YBL020W"	"RFT1"	"glycolipid"	"translocation"	"protein"	""	""	""	""	""	""	""	""	""	""	""	""
"YBL021C"	"HAP3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL022C"	"PIM1"	"ATP-dependent"	"Lon"	"protease"	"PIM1"	"LON1"	""	""	""	""	""	""	""	""	""	""
"YBL023C"	"MCM2"	"MCM"	"DNA"	"helicase"	"complex"	"subunit"	"MCM2"	""	""	""	""	""	""	""	""	""
"YBL024W"	"NCL1"	"TRM4"	"tRNA"	"(cytosine-C5-)-methyltransferase"	""	""	""	""	""	""	""	""	""	""	""	""
"YBL025W"	"RRN10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL026W"	"LSM2"	"Sm-like"	"protein"	"LSM2"	"SMX5"	"SNP3"	""	""	""	""	""	""	""	""	""	""
"YBL027W"	"RPL19B"	"eL19"	"L19B"	"L19e"	"L23B"	"ribosomal"	"60S"	"subunit"	"protein"	"L19B"	"rpl5L"	"YL14"	""	""	""	""
"YBL028C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL029C-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL029W"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL030C"	"PET9"	"AAC2"	"ADP/ATP"	"carrier"	"protein"	"PET9"	"ANC2"	"OP1"	""	""	""	""	""	""	""	""
"YBL031W"	"SHE1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL032W"	"HEK2"	"KHD1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL033C"	"RIB1"	"GTP"	"cyclohydrolase"	"II"	""	""	""	""	""	""	""	""	""	""	""	""
"YBL034C"	"STU1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL035C"	"POL12"	"DNA-directed"	"DNA"	"polymerase"	"alpha"	"subunit"	"POL12"	""	""	""	""	""	""	""	""	""
"YBL036C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL037W"	"APL3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL038W"	"MRPL16"	"mitochondrial"	"54S"	"ribosomal"	"protein"	"YmL47"	"RML16"	"uL16m"	"YmL47"	""	""	""	""	""	""	""
"YBL039C"	"URA7"	"CTP"	"synthase"	"URA7"	""	""	""	""	""	""	""	""	""	""	""	""
"YBL039C-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL039W-B"	"MIN6"	"YBL039W-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL040C"	"ERD2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL041W"	"PRE7"	"proteasome"	"core"	"particle"	"subunit"	"beta"	"6"	"PRS3"	""	""	""	""	""	""	""	""
"YBL042C"	"FUI1"	"uridine"	"permease"	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL043W"	"ECM13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL044W"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL045C"	"COR1"	"QCR1"	"ubiquinol--cytochrome-c"	"reductase"	"subunit"	"COR1"	""	""	""	""	""	""	""	""	""	""
"YBL046W"	"PSY4"	"HSM6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL047C"	"EDE1"	"BUD15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL048W"	"RRT1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL049W"	"MOH1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL050W"	"SEC17"	"RNS3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL051C"	"PIN4"	"MDT1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL052C"	"SAS3"	"KAT6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL053W"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL054W"	"TOD6"	"PBF1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL055C"	""	"3'-5'-exodeoxyribonuclease"	"Tat-D"	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL056W"	"PTC3"	"type"	"2C"	"protein"	"phosphatase"	"PTC3"	""	""	""	""	""	""	""	""	""	""
"YBL057C"	"PTH2"	"aminoacyl-tRNA"	"hydrolase"	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL058W"	"SHP1"	"protein"	"phosphatase"	"regulator"	"SHP1"	"UBX1"	""	""	""	""	""	""	""	""	""	""
"YBL059C-A"	"CMC2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL059W"	"IAI11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL060W"	"YEL1"	"Arf"	"family"	"guanine"	"nucleotide"	"exchange"	"factor"	"YEL1"	""	""	""	""	""	""	""	""
"YBL061C"	"SKT5"	"CAL2"	"CHS4"	"CSD4"	""	""	""	""	""	""	""	""	""	""	""	""
"YBL062W"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL063W"	"KIP1"	"CIN9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL064C"	"PRX1"	"thioredoxin"	"peroxidase"	"PRX1"	""	""	""	""	""	""	""	""	""	""	""	""
"YBL065W"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL066C"	"SEF1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL067C"	"UBP13"	"ubiquitin-specific"	"protease"	"UBP13"	""	""	""	""	""	""	""	""	""	""	""	""
"YBL068W"	"PRS4"	"ribose"	"phosphate"	"diphosphokinase"	"subunit"	"PRS4"	""	""	""	""	""	""	""	""	""	""
"YBL068W-A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL069W"	"AST1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL070C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL071C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL071C-B"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL071W-A"	"KTI11"	"DPH3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL072C"	"RPS8A"	"eS8"	"ribosomal"	"40S"	"subunit"	"protein"	"S8A"	"rp19"	"S14A"	"S8A"	"S8e"	"YS9"	""	""	""	""
"YBL073W"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL074C"	"AAR2"	"U5"	"snRNP"	"complex"	"subunit"	"AAR2"	""	""	""	""	""	""	""	""	""	""
"YBL075C"	"SSA3"	"Hsp70"	"family"	"ATPase"	"SSA3"	"YG106"	""	""	""	""	""	""	""	""	""	""
"YBL076C"	"ILS1"	"isoleucine--tRNA"	"ligase"	"ILS1"	""	""	""	""	""	""	""	""	""	""	""	""
"YBL077W"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL078C"	"ATG8"	"APG8"	"AUT7"	"CVT5"	"ubiquitin-like"	"protein"	"ATG8"	""	""	""	""	""	""	""	""	""
"YBL079W"	"NUP170"	"NLE3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL080C"	"PET112"	"glutamyl-tRNA(Gln)"	"amidotransferase"	"subunit"	"PET112"	""	""	""	""	""	""	""	""	""	""	""
"YBL081W"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL082C"	"ALG3"	"dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol"	"alpha-1,3-mannosyltransferase"	"RHK1"	""	""	""	""	""	""	""	""	""	""	""	""
"YBL083C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL084C"	"CDC27"	"anaphase"	"promoting"	"complex"	"subunit"	"CDC27"	"APC3"	"SNB1"	""	""	""	""	""	""	""	""
"YBL085W"	"BOI1"	"BOB1"	"GIN7"	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL086C"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"YBL087C"	"RPL23A"	"L14"	"L17aA"	"L23A"	"ribosomal"	"60S"	"subunit"	"protein"	"L23A"	"uL14"	"YL32"	""	""	""	""	""
